id,gpsnanotime,hdSpectrumEye,hdCalibEye,hdXmaxEye,theta,dtheta,phi,dphi,l,b,ra,dec,totalEnergy,dtotalEnergy,calEnergy,dcalEnergy,xmax,dxmax,heightXmax,distXmax,dEdXmax,ddEdXmax,x,dx,y,dy,z,easting,northing,altitude,cherenkovFraction,minViewAngle,uspL,duspL,uspR,duspR,hottestStationId,distSdpStation,distAxisStation,particle_type
1,257161602,0,0,1,48.21,0.38,157.74,0.66,190.73,-52.39,47.76,-8.98,2.228,0.162,1.912,0.137,713.62,17.74,6347.15,12618.23,3.3,0.08,-8820.04,57.31,-18564.65,59.35,-46.05,468486.45,6080629.07,1389.45,0.08,63.34,229.8,9.6,0.26,0.05,310,54.05,711.71,iron
4,278779315,0,0,1,46.34,0.45,255.79,0.68,300.22,-40.8,21.48,-76.14,0.758,0.052,0.634,0.041,761.4,15.77,5583.04,10771.29,1.14,0.04,-25280.63,43.59,10785.99,45.19,73.5,451964.81,6109919.85,1532.25,0.1,31.97,220.66,8.71,0.25,0.05,658,130.63,163.89,iron
1,901642884,0,0,1,27.71,0.74,349.57,1.31,244.14,-18.37,98.89,-35.55,14.812,1.246,12.921,1.087,735.54,13.74,3901.78,21268.28,21.93,0.47,-1366.82,57.52,-16120.46,62.68,-36.77,475931.85,6083089.56,1384.84,0.08,47.52,233.85,8.93,0.25,0.04,246,31.26,608.84,iron
1,814732146,0,0,1,45.88,0.4,118.58,0.53,177.78,-39.08,52.55,6.33,1.813,0.121,1.55,0.101,721.54,13.22,5933.16,14009.37,2.65,0.07,-10600.85,48.27,-19251.04,47.5,-46.02,466710.89,6079937.55,1391.82,0.11,33.29,231.96,6.35,0.23,0.04,308,285.74,312.06,iron
4,166608618,0,0,1,23.81,0.42,34.96,0.99,233.0,-4.11,108.48,-19.71,0.949,0.069,0.801,0.057,623.71,16.7,4983.36,8525.27,1.37,0.03,-25362.64,38.2,12908.86,22.6,84.89,451877.57,6112040.81,1548.61,0.11,44.82,232.43,10.05,0.26,0.05,643,599.18,599.26,iron
1,551560224,1,0,1,54.86,0.34,346.41,0.71,263.94,20.38,150.3,-29.32,4.28,0.317,3.688,0.269,699.24,15.29,7623.33,18399.93,6.4,0.17,-20964.26,141.24,-8913.23,51.27,-11.43,456322.77,6090244.23,1425.68,0.05,53.68,228.45,7.9,0.26,0.05,126,628.78,750.28,iron
1,623019620,1,0,1,35.55,0.47,58.21,0.88,274.84,55.53,177.37,-3.92,1.654,0.115,1.414,0.096,726.45,12.92,4695.46,14481.5,2.34,0.07,-15140.26,42.06,-15859.24,80.38,-48.83,462166.39,6083317.2,1391.03,0.14,30.09,239.75,8.27,0.25,0.05,451,136.63,513.54,iron
4,28345169,0,0,1,35.41,0.62,254.17,1.07,295.96,-5.88,174.28,-67.73,0.986,0.072,0.832,0.059,672.76,16.56,5283.29,14339.59,1.45,0.05,-29948.18,50.81,3765.16,82.93,57.78,447317.13,6102889.51,1531.55,0.14,34.31,228.03,9.28,0.26,0.05,624,293.72,708.02,iron
1,312421327,1,0,1,40.73,0.44,108.12,1.11,225.65,31.0,135.93,3.84,2.036,0.153,1.747,0.129,781.95,13.81,4667.88,16397.07,3.22,0.13,-20206.54,53.3,-14167.77,82.39,-32.26,457098.6,6084992.24,1413.84,0.18,29.24,214.88,10.08,0.29,0.06,417,330.1,424.77,proton
1,99644348,1,1,1,44.54,0.44,282.36,0.45,308.92,-14.63,218.1,-76.32,2.956,0.21,2.547,0.178,894.36,14.25,4080.51,12386.43,4.52,0.11,-6604.04,30.52,-24731.46,44.67,-67.83,470718.64,6074472.56,1381.67,0.09,50.33,223.37,7.77,0.26,0.04,303,312.67,405.47,proton
4,352422063,1,0,1,34.2,0.39,60.32,0.47,323.42,56.66,203.98,-4.43,2.217,0.156,1.906,0.132,695.77,11.93,4903.71,12101.97,3.19,0.08,-22118.04,30.62,8890.35,34.63,49.58,455129.73,6108032.44,1493.3,0.07,54.28,236.85,8.91,0.25,0.05,665,432.73,534.32,iron
4,634122427,1,0,1,40.24,0.42,296.81,0.55,304.65,-2.8,197.02,-65.61,1.157,0.079,0.979,0.065,636.88,13.83,6210.61,11597.46,1.75,0.04,-24246.36,43.63,13538.29,35.67,78.27,452990.52,6112674.44,1536.26,0.15,30.69,222.24,7.96,0.25,0.04,635,69.87,601.19,iron
